Latitude (decimal degrees):	53.368
Longitude (decimal degrees):	7.183
Elevation (m):	3
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,0.0,14.97,9.66,0.0
20230101:0111,0.0,0.0,0.0,0.0,14.48,10.28,0.0
20230101:0211,0.0,0.0,0.0,0.0,13.85,9.45,0.0
20230101:0311,0.0,0.0,0.0,0.0,13.76,8.83,0.0
20230101:0411,0.0,0.0,0.0,0.0,13.35,8.83,0.0
20230101:0511,0.0,0.0,0.0,0.0,12.55,9.1,0.0
20230101:0611,0.0,0.0,0.0,0.0,12.4,8.9,0.0
20230101:0711,0.0,0.0,0.0,0.0,12.19,9.03,0.0
20230101:0811,0.0,9.0,0.0,1.87,11.77,8.62,0.0
20230101:0911,0.0,23.0,0.0,7.54,11.39,8.21,0.0
20230101:1011,29.0,86.0,0.0,11.5,12.05,7.72,0.0
20230101:1111,145.01,61.0,0.0,13.45,11.99,7.66,0.0
20230101:1211,56.0,97.0,0.0,13.22,11.91,7.59,0.0
20230101:1311,13.0,77.0,0.0,10.82,11.99,7.31,0.0
20230101:1411,6.0,41.0,0.0,6.46,11.76,6.62,0.0
20230101:1511,0.0,0.0,0.0,0.0,11.29,5.86,0.0
20230101:1611,0.0,0.0,0.0,0.0,11.02,5.24,0.0
20230101:1711,0.0,0.0,0.0,0.0,10.89,5.1,0.0
20230101:1811,0.0,0.0,0.0,0.0,11.1,4.62,0.0
20230101:1911,0.0,0.0,0.0,0.0,11.09,4.48,0.0
20230101:2011,0.0,0.0,0.0,0.0,10.7,4.48,0.0
20230101:2111,0.0,0.0,0.0,0.0,10.58,4.28,0.0
20230101:2211,0.0,0.0,0.0,0.0,10.31,3.31,0.0
20230101:2311,0.0,0.0,0.0,0.0,10.1,3.38,0.0
20230102:0011,0.0,0.0,0.0,0.0,9.88,3.66,0.0
20230102:0111,0.0,0.0,0.0,0.0,9.84,4.14,0.0
20230102:0211,0.0,0.0,0.0,0.0,10.46,4.9,0.0
20230102:0311,0.0,0.0,0.0,0.0,11.05,4.41,0.0
20230102:0411,0.0,0.0,0.0,0.0,11.45,4.48,0.0
20230102:0511,0.0,0.0,0.0,0.0,11.92,5.24,0.0
20230102:0611,0.0,0.0,0.0,0.0,11.93,7.03,0.0
20230102:0711,0.0,0.0,0.0,0.0,11.39,7.79,0.0
20230102:0811,0.0,2.0,0.0,1.9,10.46,6.41,0.0
20230102:0911,0.0,29.0,0.0,7.58,9.46,6.14,0.0
20230102:1011,8.0,80.0,0.0,11.56,9.07,4.9,0.0
20230102:1111,6.0,88.0,0.0,13.53,8.99,4.62,0.0
20230102:1211,84.01,88.0,0.0,13.31,8.89,4.55,0.0
20230102:1311,1.0,57.0,0.0,10.92,9.05,5.45,0.0
20230102:1411,3.0,38.0,0.0,6.58,9.1,5.1,0.0
20230102:1511,0.0,0.0,0.0,0.0,9.06,5.66,0.0
20230102:1611,0.0,0.0,0.0,0.0,8.5,5.52,0.0
20230102:1711,0.0,0.0,0.0,0.0,7.92,4.97,0.0
20230102:1811,0.0,0.0,0.0,0.0,7.63,4.83,0.0
20230102:1911,0.0,0.0,0.0,0.0,6.73,4.55,0.0
20230102:2011,0.0,0.0,0.0,0.0,6.35,4.34,0.0
20230102:2111,0.0,0.0,0.0,0.0,5.47,4.41,0.0
20230102:2211,0.0,0.0,0.0,0.0,5.35,4.34,0.0
20230102:2311,0.0,0.0,0.0,0.0,4.9,4.21,0.0
20230103:0011,0.0,0.0,0.0,0.0,4.44,4.07,0.0
20230103:0111,0.0,0.0,0.0,0.0,4.0,3.72,0.0
20230103:0211,0.0,0.0,0.0,0.0,3.69,3.52,0.0
20230103:0311,0.0,0.0,0.0,0.0,2.99,3.45,0.0
20230103:0411,0.0,0.0,0.0,0.0,2.51,3.24,0.0
20230103:0511,0.0,0.0,0.0,0.0,2.26,3.38,0.0
20230103:0611,0.0,0.0,0.0,0.0,2.32,3.59,0.0
20230103:0711,0.0,0.0,0.0,0.0,2.6,3.86,0.0
20230103:0811,0.0,7.0,0.0,1.94,2.65,3.86,0.0
20230103:0911,54.01,44.0,0.0,7.64,3.17,3.72,0.0
20230103:1011,49.0,86.0,0.0,11.63,3.62,3.31,0.0
20230103:1111,4.0,87.0,0.0,13.62,4.56,3.52,0.0
20230103:1211,15.0,100.0,0.0,13.41,5.3,3.59,0.0
20230103:1311,0.0,46.0,0.0,11.04,6.39,4.28,0.0
20230103:1411,6.0,42.0,0.0,6.7,6.77,4.34,0.0
20230103:1511,0.0,0.0,0.0,0.0,6.81,4.34,0.0
20230103:1611,0.0,0.0,0.0,0.0,7.15,4.62,0.0
20230103:1711,0.0,0.0,0.0,0.0,7.0,5.1,0.0
20230103:1811,0.0,0.0,0.0,0.0,6.93,5.79,0.0
20230103:1911,0.0,0.0,0.0,0.0,6.91,6.41,0.0
20230103:2011,0.0,0.0,0.0,0.0,7.06,6.97,0.0
20230103:2111,0.0,0.0,0.0,0.0,7.32,7.45,0.0
20230103:2211,0.0,0.0,0.0,0.0,7.27,7.52,0.0
20230103:2311,0.0,0.0,0.0,0.0,7.47,8.07,0.0
20230104:0011,0.0,0.0,0.0,0.0,7.63,8.69,0.0
20230104:0111,0.0,0.0,0.0,0.0,7.83,9.17,0.0
20230104:0211,0.0,0.0,0.0,0.0,8.27,9.24,0.0
20230104:0311,0.0,0.0,0.0,0.0,8.47,9.66,0.0
20230104:0411,0.0,0.0,0.0,0.0,8.58,9.31,0.0
20230104:0511,0.0,0.0,0.0,0.0,9.09,9.31,0.0
20230104:0611,0.0,0.0,0.0,0.0,9.83,9.59,0.0
20230104:0711,0.0,0.0,0.0,0.0,10.46,9.59,0.0
20230104:0811,0.0,6.0,0.0,1.98,10.66,9.66,0.0
20230104:0911,25.0,53.0,0.0,7.69,10.86,9.45,0.0
